#LICA Lamps Spectra Database		
#Website 1: https://guaix.fis.ucm.es/lamps_spectra		
#Website 2: http://carlostapia.es/lamparas/lamps.html		
#Latest update: 2017/12/15		
#Tester: Carlos Eugenio Tapia Ayuga		
#Correct for Electrical Dark: Yes (JAZA2310)		
#Correct for Detector Non-linearity: Yes (JAZA2310)		
#Correct for Flux: Yes		
#Start wavelength (nm): 300		
#End wavelength (nm): 900		
#Steps (nm):	1	
#Locus: D65 sRGB Gamma 1 CIE1931		
#XYZ coordinates: 0.7866	0.7148	0.3125
#xyY coordinates: 0.4337	0.3941	0.7148
#sRGB: 255	116	45
#CCT Lindbloom (K):	3107	
#CCT McCamy (K):	2977	
#CCT Hernández-Andrés (K):	2932	
#Melatonin: 0.341		
#Chlorophyll a: 0.174		
#Chlorophyll b: 0.617		
#Beta Carotene: 0.175		
#Manufacturer: Philips		
#Luminance manufacturer: Unknown		
#Other data: Madrid streetlamp tested in laboratory		
#Begin Processed Spectral Data		
W	S	Column1
389	0.00290552	1
390	0.00028966	0
391	0.00064695	1
392	0.00016038	0
393	0.00093953	1
394	0	0
395	0	1
396	0.00009873	0
397	0.00066487	1
398	0.00100688	0
399	0	1
400	0.00118601	0
401	0	1
402	0.00198557	0
403	0.00066903	1
404	0.0041668	0
405	0.00270029	1
406	0.00356928	0
407	0.00513354	1
408	0.00815182	0
409	0.00651202	1
410	0.00923855	0
411	0.01014281	1
412	0.01131146	0
413	0.01639835	1
414	0.01883299	0
415	0.02462266	1
416	0.02937378	0
417	0.031044	1
418	0.03873536	0
419	0.04884567	1
420	0.05511218	0
421	0.06612662	1
422	0.07561928	0
423	0.09082718	1
424	0.10642263	0
425	0.11853212	1
426	0.13934694	0
427	0.15671495	1
428	0.17302887	0
429	0.19586703	1
430	0.22008671	0
431	0.24081682	1
432	0.26851247	0
433	0.29315609	1
434	0.31311914	0
435	0.33756086	1
436	0.35765263	0
437	0.38263174	1
438	0.40636596	0
439	0.43083906	1
440	0.4506495	0
441	0.47572095	1
442	0.49590881	0
443	0.52792706	1
444	0.54795648	0
445	0.57104028	1
446	0.59191855	0
447	0.61509164	1
448	0.62613427	0
449	0.63902096	1
450	0.61580913	0
451	0.60546151	1
452	0.5758039	0
453	0.54341476	1
454	0.49983177	0
455	0.4577607	1
456	0.41085422	0
457	0.36177665	1
458	0.32200178	0
459	0.28756514	1
460	0.26308398	0
461	0.2416293	1
462	0.22202118	0
463	0.20280174	1
464	0.19153013	0
465	0.17971308	1
466	0.16737349	0
467	0.16061	1
468	0.15150642	0
469	0.13965535	1
470	0.13381709	0
471	0.12363054	1
472	0.11898023	0
473	0.11028213	1
474	0.10344129	0
475	0.09666724	1
476	0.09791866	0
