#LICA Lamps Spectra Database														
#Website 1: https://guaix.fis.ucm.es/lamps_spectra														
#Website 2: http://carlostapia.es/lamparas/lamps.html														
#Latest update: 2017/12/15														
#Tester: Carlos Eugenio Tapia Ayuga														
#Correct for Electrical Dark: Yes (JAZA2310)														
#Correct for Detector Non-linearity: Yes (JAZA2310)														
#Correct for Flux: Yes														
#Start wavelength (nm): 300														
#End wavelength (nm): 900														
#Steps (nm):	1													
#Locus: D65 sRGB Gamma 1 CIE1931														
#XYZ coordinates: 0.7866	0.7148	0.3125												
#xyY coordinates: 0.4337	0.3941	0.7148												
#sRGB: 255	116	45												
#CCT Lindbloom (K):	3107													
#CCT McCamy (K):	2977													
#CCT Hernández-Andrés (K):	2932													
#Melatonin: 0.341														
#Chlorophyll a: 0.174														
#Chlorophyll b: 0.617														
#Beta Carotene: 0.175														
#Manufacturer: Philips														
#Luminance manufacturer: Unknown														
#Other data: Madrid streetlamp tested in laboratory														
#Begin Processed Spectral Data														
W	S	Column1												
390	0.00028966	1												
392	0.00016038	0												
394	0	1												
396	0.00009873	0												
398	0.00100688	1												
400	0.00118601	0												
402	0.00198557	1												
404	0.0041668	0												
406	0.00356928	1												
408	0.00815182	0												
410	0.00923855	1												
412	0.01131146	0												
414	0.01883299	1												
416	0.02937378	0												
418	0.03873536	1												
420	0.05511218	0												
422	0.07561928	1												
424	0.10642263	0												
426	0.13934694	1												
428	0.17302887	0												
430	0.22008671	1												
432	0.26851247	0												
434	0.31311914	1												
436	0.35765263	0												
438	0.40636596	1												
440	0.4506495	0												
442	0.49590881	1												
444	0.54795648	0												
446	0.59191855	1												
448	0.62613427	0												
450	0.61580913	1												
452	0.5758039	0												
454	0.49983177	1												
456	0.41085422	0												
458	0.32200178	1												
460	0.26308398	0												
462	0.22202118	1												
464	0.19153013	0												
466	0.16737349	1												
468	0.15150642	0												
470	0.13381709	1												
472	0.11898023	0												
474	0.10344129	1												
476	0.09791866	0												
478	0.08831282	1												
480	0.08489851	0												
482	0.08682382	1												
484	0.08691547	0												
486	0.08932054	1												
488	0.09545999	0												
490	0.10078363	1												
492	0.11211287	0												
494	0.12163525	1												
496	0.13912046	0												
498	0.15635642	1												
500	0.17816617	0												
502	0.19420917	1												
504	0.21594186	0												
506	0.23767843	1												
508	0.25908035	0												
510	0.28555138	1												
512	0.31033067	0												
514	0.33099955	1												
516	0.35393282	0												
518	0.37102395	1												
520	0.3907451	0												
522	0.41198802	1												
524	0.43512236	0												
526	0.44950945	1												
528	0.47063115	0												
530	0.48712351	1												
532	0.50051011	0												
534	0.51154218	1												
536	0.53119598	0												
538	0.54687086	1												
540	0.56089872	0												
542	0.57971213	1												
544	0.59469438	0												
546	0.61421321	1												
548	0.63089289	0												
550	0.64516944	1												
552	0.66448678	0												
554	0.69116361	1												
556	0.71040013	0												
558	0.7405675	1												
560	0.75660106	0												
562	0.77404725	1												
564	0.79504231	0												
566	0.81847215	1												
568	0.8382662	0												
570	0.84765347	1												
572	0.87234042	0												
574	0.8847143	1												
576	0.89948603	0												
578	0.91405003	1												
580	0.92940109	0												
582	0.94110192	1												
584	0.95747833	0												
586	0.97708533	1												
588	0.98223123	0												
590	0.98763584	1												
592	0.98358888	0												
594	0.99415715	1												
596	0.99263677	0												
598	0.99542065	1												
600	1	0												
602	0.99122303	1												
604	0.99113652	0												
606	0.95926019	1												
608	0.9490835	0												
610	0.93554429	1												
612	0.91716662	0												
614	0.91040494	1												
616	0.90693828	0												
618	0.89838515	1												
620	0.88959081	0												
622	0.85313375	1												
624	0.83678719	0												
626	0.814665	1												
628	0.79930617	0												
630	0.77586077	1												
632	0.73806342	0												
634	0.72207013	1												
636	0.69797154	0												
638	0.6692461	1												
640	0.65242242	0												
642	0.61993774	1												
644	0.60200318	0												
646	0.57479868	1												
648	0.55309391	0												
650	0.53059374	1												
652	0.50649306	0												
654	0.48985671	1												
656	0.46212593	0												
658	0.4443555	1												
660	0.42696901	0												
662	0.40677518	1												
664	0.38765447	0												
666	0.3674294	1												
668	0.35043089	0												
670	0.33556571	1												
672	0.32191139	0												
674	0.30561843	1												
676	0.28805115	0												
678	0.28285734	1												
680	0.26643442	0												
682	0.2515441	1												
684	0.23823846	0												
686	0.22606453	1												
688	0.21221969	0												
690	0.19614642	1												
692	0.19446232	0												
694	0.18230075	1												
696	0.17295014	0												
698	0.16363119	1												
700	0.15477562	0												
