#LICA Lamps Spectra Database
#Website 1: https://guaix.fis.ucm.es/lamps_spectra
#Website 2: http://carlostapia.es/lamparas/lamps.html
#Latest update: 2017/12/15
#Tester: Carlos Eugenio Tapia Ayuga
#Correct for Electrical Dark: Yes (JAZA2310)
#Correct for Detector Non-linearity: Yes (JAZA2310)
#Correct for Flux: Yes
#Start wavelength (nm): 300
#End wavelength (nm): 900
#Steps (nm):	1
#Locus: D65 sRGB Gamma 1 CIE1931
#XYZ coordinates: 0.7866	0.7148	0.3125
#xyY coordinates: 0.4337	0.3941	0.7148
#sRGB: 255	116	45
#CCT Lindbloom (K):	3107
#CCT McCamy (K):	2977
#CCT Hernández-Andrés (K):	2932
#Melatonin: 0.341
#Chlorophyll a: 0.174
#Chlorophyll b: 0.617
#Beta Carotene: 0.175
#Manufacturer: Philips
#Luminance manufacturer: Unknown
#Other data: Madrid streetlamp tested in laboratory
#Begin Processed Spectral Data
W	S
300.00000000	0.00000000
301.00000000	0.00274778
302.00000000	0.00000000
303.00000000	0.01096820
304.00000000	0.00000000
305.00000000	0.00000000
306.00000000	0.00000000
307.00000000	0.00540863
308.00000000	0.00000000
309.00000000	0.00216276
310.00000000	0.00000000
311.00000000	0.00000000
312.00000000	0.00268598
313.00000000	0.00000000
314.00000000	0.00000000
315.00000000	0.00000000
316.00000000	0.00285873
317.00000000	0.00003513
318.00000000	0.00000000
319.00000000	0.00000000
320.00000000	0.00074457
321.00000000	0.00369439
322.00000000	0.00526449
323.00000000	0.00167133
324.00000000	0.00541557
325.00000000	0.00000000
326.00000000	0.00000000
327.00000000	0.00933256
328.00000000	0.00000000
329.00000000	0.00000000
330.00000000	0.00115754
331.00000000	0.00000000
332.00000000	0.00000000
333.00000000	0.00000000
334.00000000	0.00000000
335.00000000	0.00000000
336.00000000	0.00000000
337.00000000	0.00083789
338.00000000	0.00111977
339.00000000	0.00488054
340.00000000	0.00064723
341.00000000	0.00000000
342.00000000	0.00000000
343.00000000	0.00064029
344.00000000	0.00000000
345.00000000	0.00000000
346.00000000	0.00000000
347.00000000	0.00088524
348.00000000	0.00000000
349.00000000	0.00000000
350.00000000	0.00147803
351.00000000	0.00000000
352.00000000	0.00000000
353.00000000	0.00044158
354.00000000	0.00562608
355.00000000	0.00109978
356.00000000	0.00000000
357.00000000	0.00000000
358.00000000	0.00000000
359.00000000	0.00066001
360.00000000	0.00000000
361.00000000	0.00094064
362.00000000	0.00000000
363.00000000	0.00134528
364.00000000	0.00000000
365.00000000	0.00000000
366.00000000	0.00000000
367.00000000	0.00000000
368.00000000	0.00283720
369.00000000	0.00060154
370.00000000	0.00000000
371.00000000	0.00000000
372.00000000	0.00082428
373.00000000	0.00200473
374.00000000	0.00000000
375.00000000	0.00000000
376.00000000	0.00000000
377.00000000	0.00119143
378.00000000	0.00000000
379.00000000	0.00000000
380.00000000	0.00000000
381.00000000	0.00042186
382.00000000	0.00000000
383.00000000	0.00000000
384.00000000	0.00000000
385.00000000	0.00000000
386.00000000	0.00000000
387.00000000	0.00049948
388.00000000	0.00102618
389.00000000	0.00290552
390.00000000	0.00028966
391.00000000	0.00064695
392.00000000	0.00016038
393.00000000	0.00093953
394.00000000	0.00000000
395.00000000	0.00000000
396.00000000	0.00009873
397.00000000	0.00066487
398.00000000	0.00100688
399.00000000	0.00000000
400.00000000	0.00118601
401.00000000	0.00000000
402.00000000	0.00198557
403.00000000	0.00066903
404.00000000	0.00416680
405.00000000	0.00270029
406.00000000	0.00356928
407.00000000	0.00513354
408.00000000	0.00815182
409.00000000	0.00651202
410.00000000	0.00923855
411.00000000	0.01014281
412.00000000	0.01131146
413.00000000	0.01639835
414.00000000	0.01883299
415.00000000	0.02462266
416.00000000	0.02937378
417.00000000	0.03104400
418.00000000	0.03873536
419.00000000	0.04884567
420.00000000	0.05511218
421.00000000	0.06612662
422.00000000	0.07561928
423.00000000	0.09082718
424.00000000	0.10642263
425.00000000	0.11853212
426.00000000	0.13934694
427.00000000	0.15671495
428.00000000	0.17302887
429.00000000	0.19586703
430.00000000	0.22008671
431.00000000	0.24081682
432.00000000	0.26851247
433.00000000	0.29315609
434.00000000	0.31311914
435.00000000	0.33756086
436.00000000	0.35765263
437.00000000	0.38263174
438.00000000	0.40636596
439.00000000	0.43083906
440.00000000	0.45064950
441.00000000	0.47572095
442.00000000	0.49590881
443.00000000	0.52792706
444.00000000	0.54795648
445.00000000	0.57104028
446.00000000	0.59191855
447.00000000	0.61509164
448.00000000	0.62613427
449.00000000	0.63902096
450.00000000	0.61580913
451.00000000	0.60546151
452.00000000	0.57580390
453.00000000	0.54341476
454.00000000	0.49983177
455.00000000	0.45776070
456.00000000	0.41085422
457.00000000	0.36177665
458.00000000	0.32200178
459.00000000	0.28756514
460.00000000	0.26308398
461.00000000	0.24162930
462.00000000	0.22202118
463.00000000	0.20280174
464.00000000	0.19153013
465.00000000	0.17971308
466.00000000	0.16737349
467.00000000	0.16061000
468.00000000	0.15150642
469.00000000	0.13965535
470.00000000	0.13381709
471.00000000	0.12363054
472.00000000	0.11898023
473.00000000	0.11028213
474.00000000	0.10344129
475.00000000	0.09666724
476.00000000	0.09791866
477.00000000	0.09026396
478.00000000	0.08831282
479.00000000	0.08479173
480.00000000	0.08489851
481.00000000	0.08336896
482.00000000	0.08682382
483.00000000	0.08415061
484.00000000	0.08691547
485.00000000	0.08762463
486.00000000	0.08932054
487.00000000	0.09045933
488.00000000	0.09545999
489.00000000	0.09602196
490.00000000	0.10078363
491.00000000	0.10569431
492.00000000	0.11211287
493.00000000	0.11582989
494.00000000	0.12163525
495.00000000	0.13101474
496.00000000	0.13912046
497.00000000	0.14728061
498.00000000	0.15635642
499.00000000	0.16744014
500.00000000	0.17816617
501.00000000	0.18668278
502.00000000	0.19420917
503.00000000	0.20829785
504.00000000	0.21594186
505.00000000	0.23169103
506.00000000	0.23767843
507.00000000	0.25140579
508.00000000	0.25908035
509.00000000	0.27363088
510.00000000	0.28555138
511.00000000	0.29932373
512.00000000	0.31033067
513.00000000	0.31816298
514.00000000	0.33099955
515.00000000	0.34553605
516.00000000	0.35393282
517.00000000	0.36259551
518.00000000	0.37102395
519.00000000	0.38513651
520.00000000	0.39074510
521.00000000	0.40186021
522.00000000	0.41198802
523.00000000	0.42239272
524.00000000	0.43512236
525.00000000	0.44547555
526.00000000	0.44950945
527.00000000	0.46516948
528.00000000	0.47063115
529.00000000	0.47996871
530.00000000	0.48712351
531.00000000	0.49334572
532.00000000	0.50051011
533.00000000	0.50507432
534.00000000	0.51154218
535.00000000	0.52423586
536.00000000	0.53119598
537.00000000	0.54159360
538.00000000	0.54687086
539.00000000	0.55819163
540.00000000	0.56089872
541.00000000	0.57505530
542.00000000	0.57971213
543.00000000	0.59365195
544.00000000	0.59469438
545.00000000	0.60383878
546.00000000	0.61421321
547.00000000	0.62147771
548.00000000	0.63089289
549.00000000	0.63808546
550.00000000	0.64516944
551.00000000	0.65480472
552.00000000	0.66448678
553.00000000	0.68057131
554.00000000	0.69116361
555.00000000	0.69576657
556.00000000	0.71040013
557.00000000	0.72319046
558.00000000	0.74056750
559.00000000	0.73920889
560.00000000	0.75660106
561.00000000	0.76397096
562.00000000	0.77404725
563.00000000	0.78642683
564.00000000	0.79504231
565.00000000	0.80670814
566.00000000	0.81847215
567.00000000	0.83029393
568.00000000	0.83826620
569.00000000	0.84477127
570.00000000	0.84765347
571.00000000	0.86020982
572.00000000	0.87234042
573.00000000	0.87984626
574.00000000	0.88471430
575.00000000	0.89048924
576.00000000	0.89948603
577.00000000	0.91192393
578.00000000	0.91405003
579.00000000	0.91935965
580.00000000	0.92940109
581.00000000	0.92771588
582.00000000	0.94110192
583.00000000	0.94779515
584.00000000	0.95747833
585.00000000	0.96703598
586.00000000	0.97708533
587.00000000	0.97528445
588.00000000	0.98223123
589.00000000	0.97735208
590.00000000	0.98763584
591.00000000	0.98541045
592.00000000	0.98358888
593.00000000	0.99281465
594.00000000	0.99415715
595.00000000	0.99021392
596.00000000	0.99263677
597.00000000	0.98744810
598.00000000	0.99542065
599.00000000	0.99531942
600.00000000	1.00000000
601.00000000	0.99975102
602.00000000	0.99122303
603.00000000	0.99161531
604.00000000	0.99113652
605.00000000	0.96787775
606.00000000	0.95926019
607.00000000	0.95188432
608.00000000	0.94908350
609.00000000	0.94308527
610.00000000	0.93554429
611.00000000	0.93167369
612.00000000	0.91716662
613.00000000	0.91748739
614.00000000	0.91040494
615.00000000	0.91974332
616.00000000	0.90693828
617.00000000	0.90052818
618.00000000	0.89838515
619.00000000	0.89520287
620.00000000	0.88959081
621.00000000	0.87251108
622.00000000	0.85313375
623.00000000	0.85486007
624.00000000	0.83678719
625.00000000	0.83015215
626.00000000	0.81466500
627.00000000	0.80594135
628.00000000	0.79930617
629.00000000	0.77669630
630.00000000	0.77586077
631.00000000	0.75787636
632.00000000	0.73806342
633.00000000	0.73854013
634.00000000	0.72207013
635.00000000	0.70823737
636.00000000	0.69797154
637.00000000	0.67183044
638.00000000	0.66924610
639.00000000	0.65110005
640.00000000	0.65242242
641.00000000	0.62555591
642.00000000	0.61993774
643.00000000	0.61570846
644.00000000	0.60200318
645.00000000	0.58558372
646.00000000	0.57479868
647.00000000	0.56783204
648.00000000	0.55309391
649.00000000	0.54810395
650.00000000	0.53059374
651.00000000	0.52022126
652.00000000	0.50649306
653.00000000	0.49490152
654.00000000	0.48985671
655.00000000	0.47687100
656.00000000	0.46212593
657.00000000	0.46120306
658.00000000	0.44435550
659.00000000	0.44024244
660.00000000	0.42696901
661.00000000	0.41548481
662.00000000	0.40677518
663.00000000	0.39110766
664.00000000	0.38765447
665.00000000	0.38257578
666.00000000	0.36742940
667.00000000	0.36270410
668.00000000	0.35043089
669.00000000	0.34532415
670.00000000	0.33556571
671.00000000	0.32909021
672.00000000	0.32191139
673.00000000	0.31713721
674.00000000	0.30561843
675.00000000	0.29910364
676.00000000	0.28805115
677.00000000	0.28929465
678.00000000	0.28285734
679.00000000	0.27001980
680.00000000	0.26643442
681.00000000	0.25220757
682.00000000	0.25154410
683.00000000	0.24674562
684.00000000	0.23823846
685.00000000	0.22905906
686.00000000	0.22606453
687.00000000	0.22082934
688.00000000	0.21221969
689.00000000	0.20543287
690.00000000	0.19614642
691.00000000	0.19370941
692.00000000	0.19446232
693.00000000	0.18829551
694.00000000	0.18230075
695.00000000	0.17628488
696.00000000	0.17295014
697.00000000	0.16720075
698.00000000	0.16363119
699.00000000	0.15834379
700.00000000	0.15477562
701.00000000	0.15585818
702.00000000	0.15038915
703.00000000	0.14550681
704.00000000	0.13984948
705.00000000	0.13639198
706.00000000	0.12850955
707.00000000	0.12409044
708.00000000	0.12512829
709.00000000	0.12306690
710.00000000	0.11782407
711.00000000	0.11540026
712.00000000	0.11483454
713.00000000	0.10843278
714.00000000	0.10365541
715.00000000	0.09847521
716.00000000	0.09750110
717.00000000	0.09975454
718.00000000	0.09658837
719.00000000	0.09717353
720.00000000	0.08807218
721.00000000	0.08073644
722.00000000	0.08384762
723.00000000	0.08844113
724.00000000	0.07962278
725.00000000	0.07440855
726.00000000	0.07263058
727.00000000	0.07231467
728.00000000	0.07360760
729.00000000	0.07197807
730.00000000	0.06281895
731.00000000	0.06669720
732.00000000	0.06129482
733.00000000	0.06354783
734.00000000	0.05639026
735.00000000	0.05864883
736.00000000	0.06110986
737.00000000	0.05337184
738.00000000	0.05478405
739.00000000	0.05302413
740.00000000	0.05030454
741.00000000	0.05059365
742.00000000	0.04693758
743.00000000	0.04692981
744.00000000	0.04433283
745.00000000	0.04189930
746.00000000	0.04008078
747.00000000	0.03939106
748.00000000	0.03880451
749.00000000	0.03843958
750.00000000	0.03933718
751.00000000	0.03889560
752.00000000	0.03694377
753.00000000	0.03369013
754.00000000	0.03459800
755.00000000	0.03159944
756.00000000	0.03403645
757.00000000	0.02880903
758.00000000	0.02966136
759.00000000	0.03154626
760.00000000	0.03131922
761.00000000	0.02373298
762.00000000	0.02729309
763.00000000	0.02937461
764.00000000	0.02003025
765.00000000	0.02449116
766.00000000	0.02257127
767.00000000	0.02463960
768.00000000	0.02293939
769.00000000	0.02299632
770.00000000	0.02288134
771.00000000	0.02060764
772.00000000	0.01918584
773.00000000	0.01992722
774.00000000	0.01947884
775.00000000	0.01340743
776.00000000	0.01205853
777.00000000	0.01974573
778.00000000	0.01712584
779.00000000	0.01803691
780.00000000	0.01736579
781.00000000	0.01770933
782.00000000	0.01359350
783.00000000	0.01745716
784.00000000	0.01506292
785.00000000	0.01504459
786.00000000	0.01288323
787.00000000	0.01645500
788.00000000	0.01100833
789.00000000	0.01110581
790.00000000	0.00856952
791.00000000	0.00939504
792.00000000	0.01399120
793.00000000	0.01306805
794.00000000	0.00963263
795.00000000	0.01025070
796.00000000	0.00812836
797.00000000	0.01677716
798.00000000	0.01798289
799.00000000	0.01422643
800.00000000	0.00439481
801.00000000	0.01102985
802.00000000	0.01481006
803.00000000	0.00597740
804.00000000	0.00313006
805.00000000	0.00567468
806.00000000	0.00692985
807.00000000	0.00516284
808.00000000	0.00394823
809.00000000	0.00761304
810.00000000	0.00223982
811.00000000	0.00110117
812.00000000	0.00488693
813.00000000	0.00529226
814.00000000	0.00293552
815.00000000	0.00510355
816.00000000	0.00658617
817.00000000	0.00485318
818.00000000	0.00318047
819.00000000	0.00084636
820.00000000	0.00720549
821.00000000	0.00000000
822.00000000	0.00171174
823.00000000	0.00000000
824.00000000	0.00460448
825.00000000	0.00680196
826.00000000	0.00000000
827.00000000	0.00118212
828.00000000	0.01022737
829.00000000	0.01005921
830.00000000	0.00000000
831.00000000	0.00181658
832.00000000	0.00873906
833.00000000	0.00874865
834.00000000	0.00438300
835.00000000	0.00075554
836.00000000	0.00803282
837.00000000	0.00398503
838.00000000	0.00000000
839.00000000	0.01736482
840.00000000	0.00273792
841.00000000	0.00296787
842.00000000	0.00348388
843.00000000	0.00000000
844.00000000	0.00399919
845.00000000	0.00094439
846.00000000	0.01586790
847.00000000	0.00170702
848.00000000	0.00000000
849.00000000	0.00000000
850.00000000	0.00038728
851.00000000	0.00000000
852.00000000	0.00000000
853.00000000	0.00000000
854.00000000	0.00000000
855.00000000	0.00000000
856.00000000	0.00616070
857.00000000	0.00548958
858.00000000	0.00004402
859.00000000	0.00000000
860.00000000	0.00000000
861.00000000	0.00000000
862.00000000	0.00000000
863.00000000	0.00920369
864.00000000	0.00112033
865.00000000	0.00000000
866.00000000	0.00265196
867.00000000	0.00000000
868.00000000	0.00000000
869.00000000	0.00291663
870.00000000	0.00918175
871.00000000	0.00000000
872.00000000	0.00000000
873.00000000	0.00109756
874.00000000	0.00000000
875.00000000	0.00000000
876.00000000	0.00000000
877.00000000	0.00767706
878.00000000	0.00324629
879.00000000	0.00000000
880.00000000	0.00000000
881.00000000	0.00000000
882.00000000	0.00000000
883.00000000	0.00063862
884.00000000	0.00000000
885.00000000	0.00000000
886.00000000	0.00000000
