# Wavelength, R, G, B, G2, R_err, G_err, B_err, G2_err
3.900000000000000000e+02,1.552385012981007421e-03,4.776434148724771622e-03,6.868023606448658662e-03,4.785085237591897231e-03,8.199779781543285306e-04,1.013125239784500335e-03,1.088681094637428516e-03,1.009255136664669950e-03
3.920000000000000000e+02,1.899805400164932294e-03,5.098239056577246429e-03,8.088196909678532776e-03,5.119612881096149981e-03,8.066793757419758694e-04,1.022920424117951992e-03,1.116796486828721411e-03,1.017635115314059324e-03
3.940000000000000000e+02,2.112069224636076940e-03,5.344970521662504963e-03,9.185290249063728443e-03,5.361957544564395842e-03,8.010443164127385631e-04,1.025601417128721871e-03,1.143077037262158141e-03,1.019493458666469394e-03
3.960000000000000000e+02,2.223705945703256456e-03,5.489194224109836782e-03,1.014395516466006647e-02,5.531765662292272359e-03,7.939978637026627291e-04,1.014796381880610134e-03,1.153657361199619032e-03,1.017233773224201663e-03
3.980000000000000000e+02,2.381126083070093241e-03,5.664643861220701113e-03,1.155213019159937599e-02,5.691739454144418599e-03,7.713771103833222311e-04,1.005564921281064481e-03,1.168057114083957898e-03,1.001855116345654094e-03
4.000000000000000000e+02,2.714419746019178757e-03,5.982240810310459136e-03,1.402061295660752063e-02,5.993370270921577307e-03,7.906110015385619041e-04,9.932511620711259506e-04,1.183931379453672739e-03,1.007659628433057704e-03
4.020000000000000000e+02,3.093287062778739358e-03,6.209992798697410409e-03,1.700910643307584555e-02,6.266611081799467430e-03,7.880779155527036211e-04,9.959502683664909258e-04,1.192611293971942814e-03,9.813624034588513435e-04
4.040000000000000000e+02,3.563171546858249182e-03,6.527926858016851880e-03,2.094808577464085317e-02,6.606369059260577305e-03,8.172760399847308309e-04,9.863940091396938056e-04,1.311271706237763504e-03,9.893959963919931200e-04
4.060000000000000000e+02,4.559095117910626563e-03,7.082120217596458989e-03,2.872973045447867191e-02,7.149095250380126630e-03,8.716150846147353122e-04,9.841392563301101098e-04,1.402505398865379381e-03,9.804980423870175103e-04
4.080000000000000000e+02,7.412718144205540302e-03,8.701178157387443740e-03,4.924509594863058642e-02,8.779798025052857474e-03,1.004157249875859467e-03,1.014254624117733863e-03,1.791071242992456868e-03,1.042431974900477100e-03
4.100000000000000000e+02,1.341888417321808295e-02,1.206558364478830213e-02,9.510784448812129033e-02,1.223079734438532740e-02,1.117803828653922936e-03,1.090576490843416478e-03,2.539704944596893593e-03,1.071772397457085605e-03
4.120000000000000000e+02,2.153965734160089018e-02,1.686866910428960753e-02,1.680674392781286164e-01,1.713132596984202893e-02,1.442993842389879260e-03,1.182545987850122573e-03,3.436973088320603720e-03,1.182302085787203388e-03
4.140000000000000000e+02,3.084870064718881963e-02,2.277372086879747917e-02,2.615307243791427094e-01,2.314670550581046995e-02,1.707839375338341412e-03,1.505410257699164520e-03,4.485546029442382537e-03,1.458069254789896418e-03
4.160000000000000000e+02,4.027617718377766304e-02,2.889126517035757805e-02,3.708732483464036167e-01,2.938726326781654352e-02,2.125290836507279409e-03,1.711667871147522007e-03,5.718812734755720009e-03,1.749817504518830008e-03
4.180000000000000000e+02,4.466290766836447657e-02,3.178868570857141390e-02,4.467860978711232778e-01,3.244983217943351456e-02,2.298501013018321767e-03,1.871685282112003131e-03,6.571072428842282716e-03,1.919885915696117537e-03
4.200000000000000000e+02,4.310390152582313505e-02,3.074275825170481868e-02,4.751859139557178535e-01,3.142459814442677413e-02,2.247489199666210732e-03,1.835861135820433939e-03,6.843472818615778212e-03,1.879784256670841928e-03
4.220000000000000000e+02,4.087141451348629689e-02,2.895474937316529912e-02,5.014311302257260516e-01,2.964252371547841658e-02,2.173223501793206981e-03,1.806040766450021798e-03,7.085965965166010974e-03,1.831418173582186623e-03
4.240000000000000000e+02,3.908043445197471877e-02,2.725382353026846449e-02,5.310738608394396376e-01,2.800205174156843169e-02,2.071522807247867196e-03,1.751233426403748725e-03,7.493497086586550435e-03,1.756784890536750845e-03
4.260000000000000000e+02,3.683205890964856566e-02,2.556791835024941478e-02,5.493332460544403384e-01,2.631558128660185097e-02,1.994069893950328916e-03,1.701012593397024019e-03,7.578647949214174263e-03,1.721025749935462847e-03
